n,l,nu_true,nu,nu_err
15,0,2180.1249018384574,2180.1601681317643,0.1
16,0,2312.0294788898573,2312.0010388514706,0.1
17,0,2442.8084096944744,2442.644689839266,0.1
18,0,2574.26298333301,2574.324093618541,0.1
19,0,2706.5958695200366,2706.4951930233296,0.1
20,0,2839.4762247710332,2839.4572791824226,0.1
21,0,2972.726600027053,2972.9246216435818,0.1
22,0,3105.759219427095,3105.766331643939,0.1
23,0,3239.1752414990483,3239.1773345402953,0.1
24,0,3372.990030064509,3372.9367996208834,0.1
25,0,3507.112282842813,3507.2195342012024,0.1
26,0,3641.7021454037017,3641.5614831451467,0.1
